method_config	method_name	snapshot	entity
Tumor_Only_Mutect_CNV	Tumor_Only_Mutect_CNV	12	sample
AggregateCoverageStats	AggregateCoverageStats	4	sample_set
CalculateTargetCoverage	CalculateTargetCoverage	15	sample
CallSomaticCNV	CallSomaticCNV	12	sample
CreatePoNForCNV	CreatePanelOfNormalsGATK	8	sample_set
CreatePoNForSNV	CreatePoN	23	sample_set
DepthOfCov	DepthOfCov	9	sample
DepthOfCovQC	DepthOfCovQC	3	sample
FilterGermlineVariants	FilterGermlineVariants	32	pair
Mutect2_v2.0_Normal_Only	Mutect2_v2.0	12	sample
Mutect2_v2.0_Tumor_Normal	Mutect2_v2.0	12	pair
Oncotator	Oncotator	3	pair
Oncotator_v2.0	Oncotator_v2.0	1	pair
Oncotator_v2.0_Normal	Oncotator_v2.0	1	sample
PlotSomaticCNVMaps	PlotSomaticCNVMaps	13	sample_set
RenameBAM	RenameBAM	3	sample
SNVPostProcessing	SNVPostProcessing	2	pair_set
SNVPostProcessing_Normals	SNVPostProcessing	2	sample_set
SomaticSNVCalls	SomaticSNVCalls	1	sample
